#FamilyID	pvalue	Significant at 0.05
OG0001744	0.143	n
OG0001745	0.104	n
OG0001746	0.137	n
OG0001747	0.199	n
OG0001750	0.1	n
OG0001751	0.212	n
OG0001752	0.212	n
OG0001755	0.102	n
OG0001756	0.267	n
OG0001758	0.137	n
OG0001759	0.1	n
OG0001760	0.104	n
OG0001761	0.102	n
OG0001762	0.143	n
OG0001763	0.1	n
OG0001764	0.1	n
OG0001765	0.1	n
OG0001766	0.277	n
OG0001767	0.143	n
OG0001768	0.1	n
OG0001769	0.357	n
OG0001770	0.143	n
OG0001771	0.137	n
OG0001772	0.1	n
OG0001773	0.267	n
OG0001774	0.137	n
OG0001776	0.143	n
OG0001778	0	y
OG0001779	0.357	n
OG0001780	0.137	n
OG0001781	0.008	y
OG0001782	0.137	n
OG0001785	0.357	n
OG0001786	0.137	n
OG0001787	0.008	y
OG0001789	0.1	n
OG0001790	0.1	n
OG0001791	0.1	n
OG0001792	0.1	n
OG0001793	0.1	n
OG0001794	0.284	n
OG0001795	0.104	n
OG0001797	0.104	n
OG0001798	0.1	n
OG0001799	0.1	n
OG0001800	0.1	n
OG0001801	0.1	n
OG0001802	0.1	n
OG0001804	0.1	n
OG0001805	0.1	n
OG0001806	0.1	n
OG0001807	0.1	n
OG0001808	0.1	n
OG0001809	0.267	n
OG0001811	0.104	n
OG0001813	0.357	n
OG0001814	0.1	n
OG0001817	0.005	y
OG0001847	0	y
OG0001851	0.329	n
OG0001853	0.37	n
OG0001854	0.329	n
OG0001856	0.329	n
OG0001857	0.329	n
OG0001859	0.329	n
OG0001861	0.37	n
OG0001862	0.329	n
OG0001863	0.329	n
OG0001864	0.329	n
OG0001866	0.37	n
OG0001867	0.329	n
OG0001868	0.329	n
OG0001869	0.329	n
OG0001870	0.329	n
OG0001872	0.37	n
OG0001873	0.608	n
OG0001874	0.329	n
OG0001875	0.329	n
OG0001877	0.329	n
OG0001878	0.329	n
OG0001879	0.608	n
OG0001880	0.329	n
OG0001881	0.608	n
OG0001882	0.37	n
OG0001884	0.329	n
OG0001885	0.329	n
OG0001886	0.37	n
OG0001889	0.329	n
OG0001890	0.329	n
OG0001891	0.025	y
OG0001892	0.608	n
OG0001893	0.329	n
OG0001894	0.608	n
OG0001895	0.329	n
OG0001896	0.329	n
OG0001897	0.04	y
OG0001898	0.352	n
OG0001900	0.329	n
OG0001901	0.37	n
OG0001902	0.608	n
OG0001903	0.329	n
OG0001904	0.329	n
OG0001906	0.329	n
OG0001907	0.37	n
OG0001908	0.352	n
OG0001909	0.329	n
OG0001910	0.329	n
OG0001911	0.329	n
OG0001912	0.329	n
OG0001913	0.329	n
OG0001914	0.329	n
OG0001915	0.329	n
OG0001916	0.329	n
OG0001917	0.37	n
OG0001918	0.329	n
OG0001919	0.046	y
OG0001920	0.57	n
OG0001921	0.052	n
OG0001922	0.37	n
OG0001926	0.37	n
OG0001927	0.329	n
OG0001928	0.329	n
OG0001929	0.329	n
OG0001930	0.329	n
OG0001931	0.329	n
OG0001932	0.329	n
OG0001933	0.329	n
OG0001934	0.329	n
OG0001935	0.329	n
OG0001936	0.04	y
OG0001937	0.04	y
OG0001939	0.329	n
OG0001940	0.608	n
OG0001941	0.329	n
OG0001942	0.04	y
OG0001943	0.329	n
OG0001944	0.329	n
OG0001945	0.04	y
OG0001946	0.329	n
OG0001948	0.329	n
OG0001952	0.329	n
OG0001953	0.57	n
OG0001954	0.329	n
OG0001955	0.329	n
OG0001956	0.608	n
OG0001957	0.57	n
OG0001958	0.002	y
OG0001959	0.069	n
OG0001960	0.608	n
OG0001964	0.329	n
OG0001965	0.329	n
OG0001966	0.329	n
OG0001967	0.329	n
OG0001968	0.329	n
OG0001970	0.329	n
OG0001971	0.329	n
OG0001972	0.329	n
OG0001977	0.37	n
OG0001978	0.37	n
OG0001979	0.37	n
OG0001980	0.329	n
OG0001981	0.329	n
OG0001982	0.329	n
OG0001983	0.04	y
OG0001984	0.329	n
OG0001985	0.329	n
OG0001987	0.329	n
OG0001988	0.329	n
OG0001989	0.329	n
OG0001990	0.329	n
OG0001991	0.329	n
OG0001992	0.329	n
OG0001993	0.329	n
OG0001994	0.329	n
OG0001997	0.329	n
OG0001998	0.329	n
OG0001999	0.37	n
OG0002000	0.37	n
OG0002001	0.37	n
OG0002002	0.37	n
OG0002003	0.37	n
OG0002004	0.37	n
OG0002005	0.608	n
OG0002006	0.37	n
OG0002007	0.352	n
OG0002009	0.329	n
OG0002010	0.329	n
OG0002011	0.329	n
OG0002012	0.329	n
OG0002013	0.329	n
OG0002014	0.329	n
OG0002015	0.329	n
OG0002016	0.608	n
OG0002018	0.37	n
OG0002020	0.37	n
OG0002021	0.37	n
OG0002022	0.37	n
OG0002023	0.37	n
OG0002024	0.37	n
OG0002028	0.329	n
OG0002030	0.608	n
OG0002031	0.608	n
OG0002032	0.37	n
OG0002033	0.37	n
OG0002034	0.37	n
OG0002035	0.608	n
OG0002037	0.37	n
OG0002039	0.57	n
OG0002042	0.37	n
OG0002044	0.57	n
OG0002046	0.608	n
OG0002048	0.37	n
OG0002049	0.329	n
OG0002050	0.329	n
OG0002051	0.329	n
OG0002052	0.329	n
OG0002053	0.329	n
OG0002054	0.04	y
OG0002055	0.329	n
OG0002057	0.329	n
OG0002058	0.329	n
OG0002059	0.608	n
OG0002060	0.37	n
OG0002062	0.329	n
OG0002066	0.37	n
OG0002067	0.37	n
OG0002068	0.37	n
OG0002069	0.37	n
OG0002070	0.37	n
OG0002071	0.37	n
OG0002072	0.37	n
OG0002073	0.37	n
OG0002074	0.37	n
OG0002075	0.37	n
OG0002076	0.37	n
OG0002077	0.329	n
OG0002078	0.329	n
OG0002079	0.329	n
OG0002080	0.329	n
OG0002081	0.608	n
OG0002082	0.37	n
OG0002083	0.352	n
OG0002084	0.37	n
OG0002085	0.329	n
OG0002086	0.329	n
OG0002087	0.329	n
OG0002088	0.329	n
OG0002089	0.052	n
OG0002090	0.329	n
OG0002091	0.329	n
OG0002092	0.329	n
OG0002093	0.329	n
OG0002094	0.329	n
OG0002095	0.329	n
OG0002096	0.329	n
OG0002097	0.069	n
OG0002098	0.329	n
OG0002099	0.329	n
OG0002100	0.329	n
OG0002102	0.57	n
OG0002103	0.352	n
OG0002105	0.608	n
OG0002106	0.329	n
OG0002107	0.329	n
OG0002108	0.57	n
OG0002109	0.04	y
OG0002110	0.37	n
OG0002111	0.329	n
OG0002112	0.329	n
OG0002113	0.329	n
OG0002114	0.329	n
OG0002115	0.608	n
OG0002116	0.329	n
OG0002118	0.37	n
OG0002119	0.352	n
OG0002120	0.329	n
OG0002121	0.329	n
OG0002122	0.329	n
OG0002124	0.329	n
OG0002125	0.329	n
OG0002126	0.329	n
OG0002127	0.045	y
OG0002128	0.329	n
OG0002129	0.329	n
OG0002130	0.329	n
OG0002132	0.329	n
OG0002135	0.329	n
OG0002136	0.069	n
OG0002137	0.329	n
OG0002138	0.329	n
OG0002141	0.37	n
OG0002142	0.37	n
OG0002143	0.352	n
OG0002144	0.329	n
OG0002145	0.329	n
OG0002146	0.329	n
OG0002147	0.329	n
OG0002148	0.329	n
OG0002149	0.329	n
OG0002150	0.37	n
OG0002153	0.329	n
OG0002154	0.57	n
OG0002155	0.608	n
OG0002156	0.329	n
OG0002157	0.608	n
OG0002159	0.329	n
OG0002162	0.329	n
OG0002163	0.37	n
